County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Bleckley,9,12838,,0.07%,,Gulf County,16164,,,Kalamazoo,163,264870
Wagoner,56,80110,,0.07%,,Gunnison County,17246,,,Kalkaska,3,17824
Lowndes,129,185225,,0.07%,,Guthrie County,10720,,,Kanabec,11,16207
Talbot,30,43240,,0.07%,,Gwinnett County,927781,,,Kanawha,188,180454
Acadia,43,62190,,0.07%,,Haakon County,1918,,,Kandiyohi,46,42855
Ellis,146,212098,,0.07%,,Habersham County,45388,,,Kane,1584,541925
Will,473,692310,,0.07%,,Haines Borough,2474,,,Kankakee,13,110024
Grundy,59,86536,,0.07%,,Hale County,48556,,,Kaufman,69,128622
Mathews,6,8802,,0.07%,,Halifax County,84694,,,Kay,6,44161
Kanabec,11,16207,,0.07%,,Hall County,266783,,,Kemper,1,10027
Wahkiakum,3,4426,,0.07%,,Hamblen County,64569,,,Kendall,38,173556
Teller,17,25083,,0.07%,,Hamilton County,1573286,,,Kennebec,79,122083
Vance,30,44582,,0.07%,,Hamlin County,6111,,,Kenosha,148,169290
Decatur,51,75836,,0.07%,,Hampden County,470406,,,Kent,3619,1016306
Moore,85,126578,,0.07%,,Hampshire County,184702,,,Kenton,1045,166051
Seneca,60,89507,,0.07%,,Hampton city,134313,,,Keokuk,1,10225
Nelson,42,63556,,0.07%,,Hampton County,19351,,,Kern,2024,896764
Tate,19,28759,,0.07%,,Hancock County,335731,,,Kerr,6,52405
Hot Springs,3,4555,,0.07%,,Hand County,3262,,,Kershaw,762,65592
Tangipahoa,88,133777,,0.07%,,Hanover County,107239,,,Kewaunee,2,20383
Barrow,53,80809,,0.07%,,Hansford County,5463,,,Kidder,2,2450
Coosa,7,10715,,0.07%,,Hanson County,3376,,,Kimball,5,3618
Island,55,84460,,0.07%,,Haralson County,29533,,,Kimble,15,4362
Wicomico,67,103195,,0.06%,,Hardee County,27245,,,King,10946,2233440
Deuel,4,6162,,0.06%,,Hardeman County,29142,,,King and Queen,3,7042
Chaffee,13,20027,,0.06%,,Hardin County,245597,,,King George,53,26575
Kennebec,79,122083,,0.06%,,Harding County,1904,,,King William,30,16939
Dunn,32,49463,,0.06%,,Hardy County,13775,,,Kings,2312,2734196
St. Clair,335,518481,,0.06%,,Harford County,253956,,,Kinney,1,3767
Ellsworth,4,6196,,0.06%,,Harlan County,29810,,,Kiowa,3,12628
Chattooga,16,24790,,0.06%,,Harmon County,2664,,,Kit Carson,8,7163
Swift,6,9345,,0.06%,,Harnett County,134214,,,Kitsap,201,269805
Irwin,6,9398,,0.06%,,Harney County,7329,,,Kittitas,97,47364
Bureau,21,32993,,0.06%,,Harper County,9303,,,Klamath,827,67653
Hocking,18,28385,,0.06%,,Harris County,4733094,,,Klickitat,31,22107
Phelps,34,53728,,0.06%,,Harrison County,437780,,,Knox,1003,701283
Hancock,212,335731,,0.06%,,Harrisonburg city,54033,,,Koochiching,6,12440
Gregg,78,123707,,0.06%,,Hart County,45005,,,Kootenai,66,161505
Ohio,45,71686,,0.06%,,Hartford County,892697,,,Kosciusko,1,79344
Berks,263,420152,,0.06%,,Hartley County,5619,,,Kossuth,2,14908
Crane,3,4794,,0.06%,,Harvey County,34210,,,La Crosse,35,118230
Ionia,40,64210,,0.06%,,Haskell County,22478,,,La Paz,122,21098
Gilmer,24,38842,,0.06%,,Hawaii County,200983,,,La Plata,4,56310
Ritchie,6,9721,,0.06%,,Hawkins County,56530,,,La Porte,3,#N/A
Accomack,20,32412,,0.06%,,Hayes County,916,,,La Salle,18,7531
Kalamazoo,163,264870,,0.06%,,Hays County,222631,,,Labette,1,19964
Creek,44,71604,,0.06%,,Haywood County,79306,,,Lac qui Parle,3,6658
Dawson,43,70091,,0.06%,,Heard County,11879,,,Lackawanna,101,210793
Rutherford,240,391716,,0.06%,,Hemphill County,3825,,,Laclede,19,35713
Oldham,42,68601,,0.06%,,Hempstead County,21741,,,Lafayette,3516,119470
Cabell,57,93224,,0.06%,,Henderson County,279194,,,Lafourche,5,98115
DeSoto,134,219490,,0.06%,,Hendricks County,167009,,,LaGrange,14,39330
Boulder,199,326078,,0.06%,,Hendry County,41556,,,Lake,6194,1925594
Mason,95,156320,,0.06%,,Hennepin County,1259428,,,Lamar,205,145019
Idaho,10,16513,,0.06%,,Henrico County,329261,,,Lamb,1,13158
Giles,28,46347,,0.06%,,Henry County,513152,,,Lamoille,2,25300
Otter Tail,35,58812,,0.06%,,Herkimer County,61833,,,Lampasas,1,21229
Love,6,10134,,0.06%,,Hernando County,190865,,,Lancaster,3079,966992
Northumberland,61,103230,,0.06%,,Hertford County,23659,,,Lander,38,5575
Broome,113,191659,,0.06%,,Hettinger County,2514,,,Lane,1716,381171
Guernsey,23,39022,,0.06%,,Hickman County,29484,,,Langlade,8,19268
Grant,195,332142,,0.06%,,Hickory County,9509,,,Lapeer,26,88028
Houston,182,310201,,0.06%,,Hidalgo County,870179,,,LaPorte,40,110007
Cedar,24,41238,,0.06%,,Highland County,45268,,,Laramie,28,98976
Vermillion,9,15479,,0.06%,,Highlands County,105424,,,Larimer,279,350518
Butler,426,734719,,0.06%,,Hill County,52701,,,Larue,4,14307
Bertie,11,19026,,0.06%,,Hillsborough County,1852135,,,Las Animas,32,14503
Beaver,102,176641,,0.06%,,Hillsdale County,45749,,,LaSalle,44,109430
Brown,256,443692,,0.06%,,Hinds County,237085,,,Lassen,77,30802
Highland,26,45268,,0.06%,,Hinsdale County,811,,,Latah,2,40134
Upson,15,26215,,0.06%,,Hitchcock County,2806,,,Lauderdale,46,193529
Hall,152,266783,,0.06%,,Hocking County,28385,,,Laurel,4,60669
Sussex,217,381322,,0.06%,,Hockley County,22980,,,Laurens,897,114319
Cochise,72,126770,,0.06%,,Hodgeman County,1818,,,Lavaca,1,20110
Pottawatomie,55,96956,,0.06%,,Hoke County,54764,,,Lawrence,103,392734
Caribou,4,7060,,0.06%,,Holmes County,80991,,,Le Sueur,36,28494
Shawano,23,40796,,0.06%,,Holt County,14582,,,Lea,18,69611
Sheboygan,65,115456,,0.06%,,Honolulu County,980080,,,Leavenworth,4,81352
Jo Daviess,12,21366,,0.06%,,Hood County,60537,,,Lebanon,228,141314
Sweetwater,24,43051,,0.06%,,Hood River County,23428,,,Lee,2991,1237092
Itasca,25,45108,,0.06%,,Hooker County,682,,,Leelanau,5,21764
Pemiscot,9,16272,,0.06%,,Hoonah-Angoon Census Area,2151,,,Leflore,2,28919
Holt,8,14582,,0.05%,,Hopewell city,22596,,,Lehigh,408,368100
Mahnomen,3,5519,,0.05%,,Hopkins County,81878,,,Lenawee,13,98266
Schuylkill,77,142067,,0.05%,,Horry County,344147,,,Lenoir,13,55976
Clarion,21,38779,,0.05%,,Hot Spring County,33701,,,Leon,759,309772
Newton,121,224812,,0.05%,,Hot Springs County,4555,,,Letcher,1,21899
Kaufman,69,128622,,0.05%,,Houghton County,36219,,,Levy,37,40770
Bacon,6,11185,,0.05%,,Houston County,310201,,,Lewis,144,68700
Waushara,13,24263,,0.05%,,Howard County,481154,,,Lewis and Clark,4,68700
Clinton,207,387851,,0.05%,,Howell County,40076,,,Lexington,4179,295032
Vinton,7,13139,,0.05%,,Hubbard County,21332,,,Liberty,52,158707
Laclede,19,35713,,0.05%,,Hudson County,676061,,,Licking,149,175769
Beaverhead,5,9404,,0.05%,,Hudspeth County,4795,,,Limestone,171,119693
Robeson,70,131831,,0.05%,,Huerfano County,6889,,,Lincoln,649,611041
Vanderburgh,96,180974,,0.05%,,Hughes County,30985,,,Linn,1024,375031
Brooks,12,22627,,0.05%,,Humboldt County,162706,,,Litchfield,95,181111
Macon,111,210997,,0.05%,,Humphreys County,26743,,,Little River,1,12326
McKinley,38,72290,,0.05%,,Hunt County,96493,,,Live Oak,1,12166
Cleburne,21,39952,,0.05%,,Hunterdon County,124714,,,Livingston,319,314600
Litchfield,95,181111,,0.05%,,Huntingdon County,45168,,,Llano,2,21646
Stillwater,5,9534,,0.05%,,Huntington County,36240,,,Logan,51,229931
Ferry,4,7649,,0.05%,,Huron County,89670,,,Long,3,18998
Gunnison,9,17246,,0.05%,,Hutchinson County,28578,,,Lonoke,23,73657
Woodbury,53,102539,,0.05%,,Hyde County,6512,,,Lorain,99,309461
Owyhee,6,11693,,0.05%,,Iberia Parish,70941,,,Los Angeles,55222,10105518
Judith Basin,1,1952,,0.05%,,Iberville Parish,32721,,,Loudon,56,53054
Crowley,3,5858,,0.05%,,Ida County,6841,,,Loudoun,1159,406850
Hart,23,45005,,0.05%,,Idaho County,16513,,,Louisa,71,47947
Surry,40,78422,,0.05%,,Imperial County,181827,,,Love,6,10134
Osage,39,76669,,0.05%,,Independence County,37678,,,Lowndes,129,185225
Dougherty,46,91243,,0.05%,,Indian River County,157413,,,Lubbock,5,307412
Searcy,4,7958,,0.05%,,Indiana County,84501,,,Lucas,582,438544
Fort Bend,394,787858,,0.05%,,Ingham County,292735,,,Lumpkin,7,32955
Schoolcraft,4,8068,,0.05%,,Inyo County,17987,,,Luna,22,23963
Okmulgee,19,38335,,0.05%,,Ionia County,64210,,,Lunenburg,17,12086
Allegany,58,117405,,0.05%,,Iosco County,25081,,,Luzerne,134,317646
Guadalupe,83,168035,,0.05%,,Iowa County,39912,,,Lycoming,82,113664
Bullitt,40,81069,,0.05%,,Iredell County,178435,,,Lyman,1,3821
Greenbrier,17,34786,,0.05%,,Irion County,1522,,,Lynchburg,28,82126
Early,5,10247,,0.05%,,Iron County,79745,,,Lynchburg City,10,82126
Comal,72,148373,,0.05%,,Iroquois County,27604,,,Lyon,212,134663
Miami,85,175469,,0.05%,,Irwin County,9398,,,Mackinac,4,10787
Chippewa,55,113576,,0.05%,,Isabella County,70562,,,Macomb,1137,874759
Yalobusha,6,12392,,0.05%,,Isanti County,39966,,,Macon,111,210997
Koochiching,6,12440,,0.05%,,Island County,84460,,,Macon-Bibb County,49,#N/A
Atkinson,4,8297,,0.05%,,Isle of Wight County,36953,,,Madera,516,157672
Dickenson,7,14523,,0.05%,,Issaquena County,1308,,,Madison,1808,1397473
St. Tammany,124,258111,,0.05%,,Itasca County,45108,,,Mahaska,2,22000
Wood,160,333083,,0.05%,,Itawamba County,23517,,,Mahnomen,3,5519
Bath,8,16675,,0.05%,,Izard County,13593,,,Mahoning,44,229642
Lackawanna,101,210793,,0.05%,,Jack County,8843,,,Malheur,320,30725
Bulloch,37,77296,,0.05%,,Jackson County,1748022,,,Manassas,10,41641
Nash,45,94016,,0.05%,,Jackson Parish,15902,,,Manassas Park,2,17307
Crow Wing,31,64889,,0.05%,,James City County,76397,,,Manatee,1218,394855
Bedford County,84,175961,,0.05%,,Jasper County,296075,,,Manistee,2,24528
Big Horn,12,25219,,0.05%,,Jay County,20764,,,Manitowoc,19,79074
Isanti,19,39966,,0.05%,,Jeff Davis County,17281,,,Marathon,46,135428
Brazoria,175,370200,,0.05%,,Jefferson County,3229512,,,Maricopa,15732,4410824
Windsor,26,55286,,0.05%,,Jefferson Davis County,11234,,,Marin,1319,259666
Pearl River,26,55387,,0.05%,,Jefferson Davis Parish,31582,,,Marinette,4,40434
Waupaca,24,51128,,0.05%,,Jefferson Parish,434051,,,Marion,11490,2062934
Harnett,63,134214,,0.05%,,Jenkins County,8683,,,Mariposa,92,17471
Bryan,40,85301,,0.05%,,Jennings County,27611,,,Marlboro,193,26398
Evans,5,10721,,0.05%,,Jerauld County,2043,,,Marquette,6,81950
Yoakum,4,8591,,0.05%,,Jerome County,24015,,,Marshall,80,366012
New Madrid,8,17296,,0.05%,,Jersey County,21847,,,Martin,198,230661
Sullivan,143,309292,,0.05%,,Jessamine County,53920,,,Mason,95,156320
Jenkins,4,8683,,0.05%,,Jewell County,2841,,,Massac,5,14080
Stewart,9,19760,,0.05%,,Jim Hogg County,5248,,,Mathews,6,8802
Lac qui Parle,3,6658,,0.05%,,Jim Wells County,40822,,,Maury,28,94340
Ozark,4,9017,,0.04%,,Jo Daviess County,21366,,,Maverick,2,58485
Sandusky,26,58799,,0.04%,,Johnson County,1232717,,,Mayes,13,41107
Anson,11,24877,,0.04%,,Johnston County,213624,,,McClain,33,39985
Winnebago,205,465619,,0.04%,,Jones County,148203,,,Mccormick,62,9410
Ida,3,6841,,0.04%,,Josephine County,87393,,,McCracken,2,65346
Coffee,66,150702,,0.04%,,Juab County,11555,,,McCurtain,1,32703
Sumner,92,210145,,0.04%,,Judith Basin County,1952,,,McDonough,3,29955
St. Mary's,49,112664,,0.04%,,Juneau City and Borough,32113,,,McDowell,47,63730
Okeechobee,18,41537,,0.04%,,Juneau County,26617,,,McDuffie,30,21531
Monongalia,46,106420,,0.04%,,Juniata County,24704,,,McHenry,98,314386
Conway,9,20891,,0.04%,,Kalamazoo County,264870,,,McIntosh,29,36740
Clallam,33,76737,,0.04%,,Kalawao County,88,,,McKean,13,40968
St. Louis,130,302838,,0.04%,,Kalkaska County,17824,,,McKenzie,1,13632
Darke,22,51323,,0.04%,,Kanabec County,16207,,,McKinley,38,72290
Turner,7,16336,,0.04%,,Kanawha County,180454,,,McLean,27,191621
King and Queen,3,7042,,0.04%,,Kandiyohi County,42855,,,McLennan,79,254607
Pike,124,291135,,0.04%,,Kane County,541925,,,McLeod,30,35873
Cambria,56,131730,,0.04%,,Kankakee County,110024,,,McMinn,42,53285
Brantley,8,18897,,0.04%,,Karnes County,15650,,,Meade,2,61155
Luzerne,134,317646,,0.04%,,Kauai County,72133,,,Mecklenburg,27075,1124551
Bond,7,16630,,0.04%,,Kaufman County,128622,,,Mecosta,5,43545
Tallapoosa,17,40497,,0.04%,,Kay County,44161,,,Medina,68,230067
Dixie,7,16700,,0.04%,,Kearney County,6544,,,Meeker,35,23141
Cortland,20,47823,,0.04%,,Kearny County,3943,,,Meigs,10,35412
Langlade,8,19268,,0.04%,,Keith County,8021,,,Menard,1,14427
Rabun,7,16867,,0.04%,,Kemper County,10027,,,Mendocino,321,87606
Newport,34,82542,,0.04%,,Kenai Peninsula Borough,58533,,,Menominee,2,27641
Kootenai,66,161505,,0.04%,,Kendall County,173556,,,Merced,738,274765
Wilson,114,280969,,0.04%,,Kenedy County,442,,,Mercer,872,629867
Sequatchie,6,14876,,0.04%,,Kennebec County,122083,,,Meriwether,24,21068
Walworth,44,109305,,0.04%,,Kenosha County,169290,,,Merrimack,452,151132
Murray,25,62150,,0.04%,,Kent County,1016306,,,Mesa,38,153207
LaSalle,44,109430,,0.04%,,Kenton County,166051,,,Metcalfe,1,10030
Portage,94,233869,,0.04%,,Keokuk County,10225,,,Miami,85,175469
Pulaski,229,572384,,0.04%,,Kern County,896764,,,Miami-Dade,10809,2761581
Otero,34,85213,,0.04%,,Kerr County,52405,,,Middlesex,5163,2617850
Nye,18,45346,,0.04%,,Kershaw County,65592,,,Midland,58,255787
Bennington,14,35631,,0.04%,,Ketchikan Gateway Borough,13918,,,Mifflin,39,46222
Ozaukee,35,89147,,0.04%,,Kewaunee County,20383,,,Millard,136,13006
Blair,48,122492,,0.04%,,Keweenaw County,2113,,,Mille Lacs,28,26139
San Miguel,14,35782,,0.04%,,Keya Paha County,810,,,Miller,17,74614
Graham,19,49048,,0.04%,,Kidder County,2450,,,Mills,6,19984
Pender,24,62162,,0.04%,,Kimball County,3618,,,Milwaukee,2046,948201
Charlton,5,12968,,0.04%,,Kimble County,4362,,,Mineral,42,36546
Penobscot,58,151096,,0.04%,,King and Queen County,7042,,,Mingo,2,23785
Montour,7,18240,,0.04%,,King County,2233440,,,Minidoka,5,20825
Colbert,21,54762,,0.04%,,King George County,26575,,,Minnehaha,3,192876
Gilchrist,7,18256,,0.04%,,King William County,16939,,,Mississippi,13,54575
Spencer,15,39121,,0.04%,,Kingfisher County,15816,,,Missoula,12,118791
Chicot,4,10438,,0.04%,,Kingman County,7310,,,Mitchell,15,62056
Wilkes,30,78433,,0.04%,,Kings County,2734196,,,Mobile,1973,413757
Montezuma,10,26158,,0.04%,,Kingsbury County,4919,,,Modoc,7,8777
Schley,2,5236,,0.04%,,Kinney County,3767,,,Moffat,3,13188
Burnet,18,47542,,0.04%,,Kiowa County,12628,,,Mohave,165,209550
Cassia,9,23864,,0.04%,,Kit Carson County,7163,,,Monmouth,682,621354
Colorado,8,21217,,0.04%,,Kitsap County,269805,,,Mono,92,14250
Charlottesville,18,48117,,0.04%,,Kittitas County,47364,,,Monona,2,8679
Humphreys,10,26743,,0.04%,,Kittson County,4248,,,Monongalia,46,106420
Sauk,24,64249,,0.04%,,Klamath County,67653,,,Monroe,6066,1556400
Effingham,36,96398,,0.04%,,Kleberg County,31129,,,Montague,5,19596
Clarke,71,190800,,0.04%,,Klickitat County,22107,,,Montcalm,9,63968
Toombs,10,26887,,0.04%,,Knott County,15126,,,Monterey,1427,435594
Mackinac,4,10787,,0.04%,,Knox County,701283,,,Montezuma,10,26158
Beckham,8,21709,,0.04%,,Kodiak Island Borough,13345,,,Montgomery,12873,3788798
Porter,62,169594,,0.04%,,Koochiching County,12440,,,Montour,7,18240
Pointe Coupee,8,21940,,0.04%,,Kootenai County,161505,,,Montrose,3,42214
LaPorte,40,110007,,0.04%,,Kosciusko County,79344,,,Moore,85,126578
Muskegon,63,173588,,0.04%,,Kossuth County,14908,,,Mora,12,4506
Iroquois,10,27604,,0.04%,,Kusilvak Census Area,8303,,,Morehouse,2,25398
Steuben,47,130382,,0.04%,,La Crosse County,118230,,,Morgan,558,370310
Screven,5,13938,,0.04%,,La Paz County,21098,,,Morris,660,512088
Socorro,6,16735,,0.04%,,La Plata County,56310,,,Morrison,66,33169
Seward,14,39098,,0.04%,,La Salle County,7531,,,Morrow,110,46484
Ripley,15,41924,,0.04%,,Labette County,19964,,,Morton,5,33762
Clare,11,30757,,0.04%,,Lac qui Parle County,6658,,,Mower,33,40011
Coleman,3,8397,,0.04%,,Lackawanna County,210793,,,Multnomah,4744,811880
Aurora,1,2801,,0.04%,,Laclede County,35713,,,Murray,25,62150
LaGrange,14,39330,,0.04%,,Lafayette County,119470,,,Muscatine,1,42929
Massac,5,14080,,0.04%,,Lafayette Parish,242782,,,Muscogee,46,194160
Yazoo,10,28248,,0.04%,,Lafourche Parish,98115,,,Muskegon,63,173588
Woodford,23,64996,,0.04%,,LaGrange County,39330,,,Muskingum,27,86183
San Juan,56,158382,,0.04%,,Lake and Peninsula Borough,1587,,,Muskogee,6,68362
Elbert,16,45402,,0.04%,,Lake County,1925594,,,Musselshell,1,4651
Venango,18,51266,,0.04%,,Lake of the Woods County,3758,,,Nacogdoches,7,65711
Cass,171,487065,,0.04%,,Lamar County,145019,,,Nantucket,1,11327
Ross,27,76931,,0.04%,,Lamb County,13158,,,Napa,635,139417
Columbiana,36,102665,,0.04%,,Lamoille County,25300,,,Nash,45,94016
Nemaha,6,17113,,0.04%,,LaMoure County,4062,,,Nassau,2112,1444175
Auglaize,16,45804,,0.03%,,Lampasas County,21229,,,Natchitoches,1,38659
Panola,20,57326,,0.03%,,Lancaster County,966992,,,Natrona,5,79115
Colfax,8,22991,,0.03%,,Lander County,5575,,,Navajo,116,110445
Cherry,2,5761,,0.03%,,Lane County,381171,,,Navarro,14,49565
Stevens,21,60572,,0.03%,,Langlade County,19268,,,Nelson,42,63556
Ashland,24,69345,,0.03%,,Lanier County,10340,,,Nemaha,6,17113
Hill,18,52701,,0.03%,,Lapeer County,88028,,,Neosho,4,15951
Lynchburg,28,82126,,0.03%,,LaPorte County,110007,,,Nevada,460,108022
Payette,8,23551,,0.03%,,Laramie County,98976,,,New Castle,1516,559335
Marathon,46,135428,,0.03%,,Larimer County,350518,,,New Hanover,63,232274
Falls Church,5,14772,,0.03%,,Larue County,14307,,,New Haven,1607,857620
Colonial Heights City,6,17833,,0.03%,,Las Animas County,14503,,,New Kent,277,22391
Gonzales,7,20826,,0.03%,,LaSalle County,109430,,,New London,282,266784
Fluvanna,9,26783,,0.03%,,LaSalle Parish,14917,,,New Madrid,8,17296
Warrick,21,62567,,0.03%,,Lassen County,30802,,,New York,1827,1628701
Eau Claire,35,104534,,0.03%,,Latah County,40134,,,Newaygo,6,48892
Pitkin,6,17950,,0.03%,,Latimer County,10231,,,Newberry,511,38520
Oglethorpe,5,15054,,0.03%,,Lauderdale County,193529,,,Newport,34,82542
Pipestone,3,9047,,0.03%,,Laurel County,60669,,,Newport News,389,178626
Okfuskee,4,12098,,0.03%,,Laurens County,114319,,,Newton,121,224812
George,8,24250,,0.03%,,Lavaca County,20110,,,Nez Perce,5,40408
Fond du Lac,34,103066,,0.03%,,Lawrence County,392734,,,Niagara,153,210433
Dare,12,36501,,0.03%,,Le Flore County,49980,,,Nicholas,4,32008
Noble,24,73175,,0.03%,,Le Sueur County,28494,,,Nicollet,86,34220
Liberty,52,158707,,0.03%,,Lea County,69611,,,Niobrara,3,2388
Benewah,3,9226,,0.03%,,Leake County,22763,,,Noble,24,73175
Amite,4,12326,,0.03%,,Leavenworth County,81352,,,Nobles,47,21924
Columbus,18,55655,,0.03%,,Lebanon County,141314,,,Nolan,28,14751
Beltrami,15,46847,,0.03%,,Lee County,1237092,,,Norfolk,2570,244076
Lorain,99,309461,,0.03%,,Leelanau County,21764,,,Norfolk City,27,244076
McKean,13,40968,,0.03%,,Leflore County,28919,,,Northampton,294,336218
Mayes,13,41107,,0.03%,,Lehigh County,368100,,,Northumberland,61,103230
Presque Isle,4,12738,,0.03%,,Lemhi County,7961,,,Nottoway,51,15420
Muskingum,27,86183,,0.03%,,Lenawee County,98266,,,Nowata,2,10218
Buchanan,41,130991,,0.03%,,Lenoir County,55976,,,Noxubee,1,10535
Armstrong,21,67155,,0.03%,,Leon County,309772,,,Nueces,23,362265
Lonoke,23,73657,,0.03%,,Leslie County,10143,,,Nye,18,45346
McHenry,98,314386,,0.03%,,Letcher County,21899,,,O'Brien,2,13840
Bastrop,27,86976,,0.03%,,Levy County,40770,,,Oakland,2615,1259201
McLennan,79,254607,,0.03%,,Lewis and Clark County,68700,,,Obion,2,30267
Emanuel,7,22612,,0.03%,,Lewis County,161134,,,Obrien,1,#N/A
Caswell,7,22698,,0.03%,,Lexington city,7136,,,Ocean,493,601651
Burt,2,6488,,0.03%,,Lexington County,295032,,,Oceana,2,26625
Vigo,33,107386,,0.03%,,Liberty County,158707,,,Oconee,732,117646
Hand,1,3262,,0.03%,,Licking County,175769,,,Oconto,11,37830
Trempealeau,9,29442,,0.03%,,Limestone County,119693,,,Ogemaw,5,20952
Athens,20,65818,,0.03%,,Lincoln County,611041,,,Ogle,15,50923
Rhea,10,33044,,0.03%,,Lincoln Parish,47196,,,Oglethorpe,5,15054
Hunt,29,96493,,0.03%,,Linn County,375031,,,Ohio,45,71686
Mills,6,19984,,0.03%,,Lipscomb County,3355,,,Okaloosa,363,207269
Goshen,4,13376,,0.03%,,Litchfield County,181111,,,Okeechobee,18,41537
Itawamba,7,23517,,0.03%,,Little River County,12326,,,Okfuskee,4,12098
Maury,28,94340,,0.03%,,Live Oak County,12166,,,Oklahoma,11766,792582
Hanson,1,3376,,0.03%,,Livingston County,314600,,,Okmulgee,19,38335
La Crosse,35,118230,,0.03%,,Livingston Parish,139567,,,Oktibbeha,1,49599
Snyder,12,40540,,0.03%,,Llano County,21646,,,Oldham,42,68601
Bullock,3,10138,,0.03%,,Logan County,229931,,,Olmsted,114,156277
Medina,68,230067,,0.03%,,Long County,18998,,,Oneida,629,269535
Lapeer,26,88028,,0.03%,,Lonoke County,73657,,,Onondaga,816,461809
Dodge,49,166165,,0.03%,,Lorain County,309461,,,Onslow,7,197683
Ogle,15,50923,,0.03%,,Los Alamos County,19101,,,Ontario,268,109864
Clark,909,3087502,,0.03%,,Los Angeles County,10105518,,,Orange,19774,5263295
Ralls,3,10212,,0.03%,,Loudon County,53054,,,Orangeburg,1469,86934
Converse,4,13640,,0.03%,,Loudoun County,406850,,,Orleans,966,67519
Saguache,2,6843,,0.03%,,Louisa County,47947,,,Osage,39,76669
De Soto,8,27436,,0.03%,,Loup County,618,,,Osceola,1175,397371
Hampden,137,470406,,0.03%,,Love County,10134,,,Oswego,22,117898
Glacier,4,13747,,0.03%,,Loving County,152,,,Otero,34,85213
Oconto,11,37830,,0.03%,,Lowndes County,185225,,,Otoe,3,15985
Jennings,8,27611,,0.03%,,Lubbock County,307412,,,Otsego,24,84414
Chambers,22,76069,,0.03%,,Lucas County,438544,,,Ottawa,266,368240
Hale,14,48556,,0.03%,,Luce County,6283,,,Otter Tail,35,58812
White,50,173602,,0.03%,,Lumpkin County,32955,,,Ouachita,46,23606
Huntingdon,13,45168,,0.03%,,Luna County,23963,,,Ouray,10,4833
Garvin,8,27811,,0.03%,,Lunenburg County,12086,,,Outagamie,137,187365
Benton,197,685159,,0.03%,,Luzerne County,317646,,,Overton,4,22068
Dale,14,48956,,0.03%,,Lycoming County,113664,,,Owen,3,31725
Petersburg City,9,31567,,0.03%,,Lyman County,3821,,,Owyhee,6,11693
Bailey,2,7027,,0.03%,,Lynchburg city,82126,,,Oxford,12,57618
Otsego,24,84414,,0.03%,,Lynn County,5877,,,Ozark,4,9017
Webster,32,112714,,0.03%,,Lyon County,134663,,,Ozaukee,35,89147
Crawford,97,342028,,0.03%,,Mackinac County,10787,,,Pacific,55,22036
Laramie,28,98976,,0.03%,,Macomb County,874759,,,Page,33,39182
Van Wert,8,28281,,0.03%,,Macon County,210997,,,Palm Beach,3937,1485941
Navarro,14,49565,,0.03%,,Macoupin County,45313,,,Palo Alto,1,8929
Meigs,10,35412,,0.03%,,Madera County,157672,,,Palo Pinto,1,28875
Parker,39,138371,,0.03%,,Madison County,1397473,,,Pamlico,1,12670
Chattahoochee,3,10684,,0.03%,,Madison Parish,11161,,,Panola,20,57326
Guthrie,3,10720,,0.03%,,Magoffin County,12362,,,Park,57,64616
Larue,4,14307,,0.03%,,Mahaska County,22000,,,Parke,2,16927
Wolfe,2,7177,,0.03%,,Mahnomen County,5519,,,Parker,39,138371
Dallam,2,7200,,0.03%,,Mahoning County,229642,,,Pasco,1333,539630
Berkshire,35,126348,,0.03%,,Major County,7644,,,Passaic,628,503310
Jones,41,148203,,0.03%,,Malheur County,30725,,,Patrick,17,17673
Rapides,36,130562,,0.03%,,Manassas city,41641,,,Paulding,22,182804
Tattnall,7,25391,,0.03%,,Manassas Park city,17307,,,Pawnee,3,25584
Cheboygan,7,25413,,0.03%,,Manatee County,394855,,,Payette,8,23551
Chemung,23,84254,,0.03%,,Manistee County,24528,,,Payne,5,82040
Trousdale,3,11012,,0.03%,,Manitowoc County,79074,,,Peach,52,27297
Upton,1,3671,,0.03%,,Marathon County,135428,,,Pearl River,26,55387
Routt,7,25733,,0.03%,,Marengo County,19066,,,Pecos,14,15673
Trumbull,54,198627,,0.03%,,Maricopa County,4410824,,,Pemiscot,9,16272
St. Joseph,90,331814,,0.03%,,Maries County,8769,,,Pender,24,62162
New Hanover,63,232274,,0.03%,,Marin County,259666,,,Pendleton,5,21526
Sweet Grass,1,3710,,0.03%,,Marinette County,40434,,,Pennington,1,125907
Gibson,22,82497,,0.03%,,Marion County,2062934,,,Penobscot,58,151096
Rio Grande,3,11250,,0.03%,,Mariposa County,17471,,,Peoria,33,180621
Sutton,1,3758,,0.03%,,Marlboro County,26398,,,Perquimans,1,13422
Bayfield,4,15042,,0.03%,,Marquette County,81950,,,Perry,55,207177
Perry,55,207177,,0.03%,,Marshall County,366012,,,Pershing,15,6666
Kinney,1,3767,,0.03%,,Martin County,230661,,,Person,4,39507
Roseau,4,15150,,0.03%,,Martinsville city,12902,,,Petersburg,154,3221
Lawrence,103,392734,,0.03%,,Mason County,156320,,,Petersburg City,9,31567
Lyman,1,3821,,0.03%,,Massac County,14080,,,Pettis,2,42542
Costilla,1,3828,,0.03%,,Matagorda County,36552,,,Phelps,34,53728
