County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Dinwiddie,177,28529,,0.62%,,Barren County,44176,,,Bedford,124,175961
Emery,61,10014,,0.61%,,Barron County,45164,,,Bedford County,84,175961
Denver,4291,716492,,0.60%,,Barrow County,80809,,,Bee,2,32587
Box Elder,323,54950,,0.59%,,Barry County,97043,,,Belknap,186,61022
Multnomah,4744,811880,,0.58%,,Bartholomew County,82753,,,Bell,74,382211
La Paz,122,21098,,0.58%,,Barton County,37909,,,Belmont,55,67505
Yamhill,617,107002,,0.58%,,Bartow County,106408,,,Beltrami,15,46847
Twiggs,47,8188,,0.57%,,Bastrop County,86976,,,Ben Hill,2,16787
Harris,27114,4733094,,0.57%,,Bates County,16320,,,Benewah,3,9226
Abbeville,138,24541,,0.56%,,Bath County,16675,,,Bennington,14,35631
Marion,11490,2062934,,0.56%,,Baxter County,41619,,,Bent,5,5882
Sarpy,1024,184459,,0.56%,,Bay County,289210,,,Benton,197,685159
Los Angeles,55222,10105518,,0.55%,,Bayfield County,15042,,,Bergen,1702,936692
Hood River,128,23428,,0.55%,,Baylor County,3582,,,Berkeley,2138,338214
Salem,140,25643,,0.55%,,Beadle County,18883,,,Berks,263,420152
Pickens,962,176855,,0.54%,,Bear Lake County,6050,,,Berkshire,35,126348
Botetourt,179,33277,,0.54%,,Beaufort County,235794,,,Bernalillo,1736,678701
Goochland,124,23244,,0.53%,,Beauregard Parish,37253,,,Berrien,168,173393
Shenandoah,232,43497,,0.53%,,Beaver County,176641,,,Bertie,11,19026
Gadsden,244,45894,,0.53%,,Beaverhead County,9404,,,Bexar,7184,1986049
Edgefield,143,27052,,0.53%,,Becker County,34371,,,Bibb,286,175495
Chisago,295,55922,,0.53%,,Beckham County,21709,,,Bienville,12,13308
Mariposa,92,17471,,0.53%,,Bedford County,175961,,,Big Horn,12,25219
Suwannee,232,44191,,0.52%,,Bee County,32587,,,Bingham,7,46236
Albany,1805,345718,,0.52%,,Belknap County,61022,,,Black Hawk,27,132408
Solano,2323,446610,,0.52%,,Bell County,382211,,,Bladen,2,33190
Fairfax,127,24574,,0.52%,,Belmont County,67505,,,Blaine,3,39369
Canadian,734,144447,,0.51%,,Beltrami County,46847,,,Blair,48,122492
Marin,1319,259666,,0.51%,,Ben Hill County,16787,,,Blanco,11,11702
York,5127,1010238,,0.51%,,Benewah County,9226,,,Bland,86,6293
Contra Costa,5765,1150215,,0.50%,,Bennett County,3468,,,Bleckley,9,12838
Tuolumne,272,54539,,0.50%,,Bennington County,35631,,,Bledsoe,2,14755
Calaveras,223,45602,,0.49%,,Benson County,6962,,,Blount,534,189189
Barnwell,102,21112,,0.48%,,Bent County,5882,,,Blue Earth,72,67427
Sonoma,2409,499942,,0.48%,,Benton County,685159,,,Boise,12,7634
Greensville,56,11627,,0.48%,,Benzie County,17753,,,Bond,7,16630
Westchester,4657,967612,,0.48%,,Bergen County,936692,,,Bonner,11,44727
Mobile,1973,413757,,0.48%,,Berkeley County,338214,,,Bonneville,24,116854
Pima,4887,1039073,,0.47%,,Berks County,420152,,,Boone,733,523130
Tazewell,812,173183,,0.47%,,Berkshire County,126348,,,Bosque,1,18691
Bartholomew,386,82753,,0.47%,,Bernalillo County,678701,,,Bossier,160,127185
Sacramento,7148,1540975,,0.46%,,Berrien County,173393,,,Botetourt,179,33277
Douglas,6918,1495039,,0.46%,,Bertie County,19026,,,Boulder,199,326078
San Mateo,3553,769545,,0.46%,,Bethel Census Area,18216,,,Boundary,3,11948
Augusta,347,75457,,0.46%,,Bexar County,1986049,,,Bourbon,1,34837
Napa,635,139417,,0.46%,,Bibb County,175495,,,Bowie,9,94324
Lane,1716,381171,,0.45%,,Bienville Parish,13308,,,Box Elder,323,54950
Emporia,23,5121,,0.45%,,Big Horn County,25219,,,Boyd,6,49195
Butts,108,24193,,0.45%,,Big Stone County,4989,,,Bradford,67,88565
Deschutes,853,191996,,0.44%,,Billings County,919,,,Bradley,121,117624
Salt Lake,5036,1152633,,0.44%,,Bingham County,46236,,,Branch,6,43622
